company,website,city,state,bucket,band,priority,batch,rank,verification,scope,model,size,li_headcount,founded_inven,ownership_inven,dq_gate,verdict_reason,founded_verified,owner_verified,ownership_verified,confidence,source_list,inven_id,list_stage_note
Coutts Brothers Inc,http://couttsbros.com,Randolph,Maine,T3,1 Core,P1,Batch 1,11.0,Verified,Strong,Mixed,Mixed,22.0,1963.0,Family Owned,,"raised — FMCSA SAFER (108 drivers, 43 power units) corrects LinkedIn's 22 and puts size solidly in the box; 1963 founding, third-generation family ownership and long-term alliance agreements for distribution and maintenance services are all",1963 (CONFIRMED from own site; matches the supplied founded_inven of 1963),Third-generation family: 'Dylan and Scott Coutts' (cousins) and Brad Stout currently; founders 'Bill and Stanley Coutts'; second generation 'Denis and Tracy Coutts' (http://couttsbros.com),"family owned, independent — three named generations of the Coutts family on the site, no investor, parent or holding-company language",High,ElecInfra + FromPete,1264418.0,"""High-voltage electrical construction and maintenance"", ""distribution, transmission, and emergency response"" for utilities; family owned since 1963; 22 LinkedIn"
Van Haren Electric Inc.,http://vanharen.com,Byron Center,Michigan,T4,1 Core,P1,Batch 1,12.0,Verified,Mixed,Mixed,Strong,31.0,1947.0,Family Owned,,"raised from P2 — everything the list screen flagged as unknown resolved favourably from the company's own materials: headcount confirmed at 70 (not 31), ""Assigned Maintenance Partnerships"" plus preventive maintenance and a named service dep","1947 — CONFIRMED from their own about page: ""Founded by Adrian Van Haren in 1947, Van Haren Electric has been serving the electric needs of industrial, commercial and institutional customers throughout West Michigan"" (https://vanharen.com/a","Brian Van Haren, P.E., CEO — son of founder Adrian Van Haren, second generation, 40+ years in the industry all at VHE, Electrical Engineering degree from University of Michigan 1979 (https://vanharen.com/team/). Supporting leadership: Bill ","family owned, independent, second generation — ""Van Haren Electric is now under the management of the second generation of the founder, Brian Van Haren"" (https://vanharen.com/about-us/)",High,ElecInfra + FromPete,12019473.0,"""Electrical installations, maintenance, and emergency services"" for industrial, commercial and institutional clients; family owned since 1947; 31 employees in b"
Jordan High Voltage,http://jordanhighvoltage.com,Davie,Florida,T3,1 Core,P1,Batch 1,13.0,Verified,Strong,Mixed,Mixed,15.0,1973.0,Private,,"RAISED from P2 — the two open questions from the list screen both resolved in its favour: FMCSA SAFER shows 36 drivers against LinkedIn's 15 (size is in the box, not below it), and the maintenance page carries a genuine preventive maintenan","1973 — CONFIRMED on their own site: 'Founded in 1973, Jordan High Voltage (JHV) continues be a leader and innovator in the high voltage industry.' Matches Inven. 53 years old.","Tom Jordan, President — confirmed from their own materials, quoted by name and title on the maintenance page: 'We all know the best outages are the ones you plan…' — Tom Jordan, President (https://www.jordanhighvoltage.com/maintenance/). Su","independent private, veteran-owned — 'JHV IS A VETERAN OWNED BUSINESS' (https://www.jordanhighvoltage.com/who-we-are/). No parent, affiliate or family-of-companies language anywhere on the site.",Medium,ElecInfra + FromPete,298797.0,"High voltage cable installation, overhead transmission and emergency restoration for utilities, government and military nationwide since 1973; install-led and o"
I.C. Reed & Sons,http://icreed.com,Raymond,New Hampshire,T3,1 Core,P1,Batch 1,14.0,Verified,Strong,Mixed,Unknown,,1953.0,Family Owned,,"raised — from P2 to P1: 1953 founding and four-generation family ownership confirmed on their own site, line MAINTENANCE and storm restoration lead the service list, utility customers are named and paid direct (NHEC, Eversource, UNITIL) wit",1953,"Shawn Reed, V.P. of Operations (https://www.linkedin.com/in/shawn-reed-9680421b/). The president / majority owner name is [unknown] — icreed.com publishes no leadership page, only 'We have been family-owned and operated for four generations","Family owned, four generations, independent — https://www.icreed.com/: 'We have been family-owned and operated for four generations.'",High,ElecInfra,12699612.0,"1953 family utility contractor: 'line maintenance, substation construction' sold direct to 'utility companies and municipalities' in the Northeast."
Jess Howard Electric Co.,http://jesshoward.com,Blacklick,,T5,1 Core,P1,Batch 1,15.0,Verified,Mixed,Mixed,Strong,37.0,,Family Owned,,"raised — Inven's 37-employee LinkedIn figure and a generic ""residential, commercial, industrial"" blurb hid a 120-employee, 1945-founded family contractor with substation maintenance, 480V-69kV line work, traffic signals and a named 24-hour ",1945,"Jonathan F. Howard, President (https://jesshoward.com/). Second/third-generation family successor to founder Jesse E. Howard; exact generation [unknown]. Brian Barwick, Controller, is the listed SAM point of contact (govcb.com, low-confiden","independent private / family owned — ""family-owned business"" (https://jesshoward.com/about/); no parent, affiliate or family-of-companies page found on the domain",High,FromPete,12737314.0,"Emergency repairs, electrical construction and specialized lighting for residential, commercial and industrial clients since 1945; 37 staff, residential in the "
"Ace Electrical Contractors, Inc.",http://aceelectrical.net,Golden Valley,,T5,1 Core,P1,Batch 1,16.0,Verified,Mixed,Weak,Strong,63.0,,Private,,"raised from P3 — the strongest company in this batch. Its own site evidences a real recurring-service base: preventative maintenance programmes, annual testing and maintenance reports, infrared scanning, NFPA 70E arc flash analysis, medium ","1995 — CONFIRMED from own site: ""In 1995, the company started with a mission: to constantly strive to exceed the expectations"" (https://aceelectrical.net/about-us/). This fills the supplied blank founded_inven and gives 31 years of operatin","John Graunke, CEO; Jim Horvat, President; David Bower, Vice President; Larry Palm, Vice President — https://aceelectrical.net/about-us/ . Whether these managers are also the shareholders is [unknown].","independent private — INFERRED: no parent, affiliate, 'family of companies', investor or acquisition language anywhere on the site; the About page frames the company as ""built by electricians and run by electricians"" (https://aceelectrical.",Medium,FromPete,581487.0,"""Installations, upgrades, and maintenance"" for automotive, medical, educational, ""managing complex projects from planning to completion"" — project-led; 63 staff"
Telex LLC,http://telexllc.com,Fayetteville,,T1,1 Core,P2,Batch 1,17.0,Verified (prior pass),Strong,Strong,Strong,53.0,,Family Owned,,"confirmed - the capping unknown (founded year) is resolved at 2014, which clears the age test, and size and independence check out. Held at P2 rather than raised because the model could not be established from the company's OWN materials: t","2014 - 12 years old, clears the 10+ year preference. Reported in an Arkansas Business feature on the state's fastest-growing companies.","Mike McDonald - Founder and President. A former relay technician at a power company who started the firm on that trade - a genuine founder-operator, not a hired CEO. Joshua Miller is listed as VP Operations in the supplied source list (titl","independent private, founder-owned - ranked among Arkansas's fastest-growing PRIVATE companies and on the Inc. 5000, both of which require independent private status. Supplied list characterizes it as family owned; that specific claim is no",Medium,FromPete,2811668.0,"""Protective relay testing, functional commissioning, and apparatus testing"" for utility and government; 53 staff, family owned; founding year unknown."
"Delta Utility Services, Inc",http://deltausinc.com,Sparks,Maryland,T3,1 Core,P2,Batch 1,18.0,Verified (prior pass),Strong,Strong,Strong,25.0,,Family Owned,,"confirmed at P2, and it is the strongest name in this batch — scope, model, age, and ownership all came back clean and better than the pre-enrichment read (2003 founding confirmed, family/woman-owned confirmed, no acquisition, a real year-l","2003 — CONFIRMED from two independent sources: the company's own About page, and the MWMCA trade-association interview (""Established in 2003 to provide specialized and professional utility work""). 23 years, comfortably clearing the 10-year ","Amy Burns — CEO/Owner, in the CEO seat since 2016; identified as President in the MWMCA interview and as ""CEO/Owner"" on her own LinkedIn headline. Stephen Burns — President, since 2015. Shared surname and co-leadership are consistent with t","independent private, family owned and woman owned. Certified WBE with the City of Baltimore; certified MBE/DBE/SBE with the Maryland Department of Transportation. No parent, sponsor or investor found.","High on scope, age, ownership and the acquisition check; Medium on size and revenue mix",ElecInfra + FromPete,3047258.0,"""Maintenance and construction of electrical infrastructure"" including ""substation construction"" direct for Mid-Atlantic utilities; 25 staff, family owned; age u"
Texas Meter & Device,http://texasmeter.com,Waco,,T3,1 Core,P2,Batch 1,19.0,Verified (prior pass),Strong,Strong,Strong,72.0,,Family Owned,,"confirmed — age (1937) and size are now solid and no gate fired, but the intake's nearest-gate question (product/manufacturing/resale share vs field-service revenue) is STILL unresolved because the company's own site would not load; unknown",1937,"Steve Swenke, President & CEO","independent private (Texas LLC; Steve Swenke listed as Member). Supplied list records 'Family Owned'. No sponsor, parent or consolidator found.",Medium,FromPete,1182457.0,"'Meter installation, testing, and maintenance' direct for utility companies, over 80 years, family owned, 72 employees - but 'wide range of products' may lead."
Electric Power Inc.,http://elecpwr.com,Chester,,T1,1 Core,P2,Batch 1,20.0,Verified (prior pass),Strong,Strong,Strong,66.0,,Private,,"confirmed — founded year now CONFIRMED at 1991 (35 years, previously unknown), which is a real upgrade to the age question, but the manufacturing NAICS/product lines plus HEMP construction split the model and the owner is unnamed, so it doe","1991 — CONFIRMED (35 years). HigherGov's federal awardee profile, which derives from federal entity registration data, states 'Founded: Jan. 1, 1991' with 'Initial federal registration: Sept. 5, 2001'. Independently corroborated by EPI's ow","[unknown] — EPI's website has no leadership, team or ownership page. No principal or owner name surfaced in search; only mid-level staff (a division manager, an electrical tech) appeared, via aggregators.","independent private (INFERRED — no PE, sponsor, parent or 'portfolio company of' language found on the site or in news search; but the absence of any named owner means this is not confirmed)",Medium,FromPete,18325153.0,"""Commissioning, testing, maintenance, and upgrades"" plus HEMP-shielded facility construction for business and government customers; 66 staff, real qualification"
Electrical Engineering Enterprises,http://electricalengineeringenterprises.com,Tampa,,T1,1 Core,P2,Batch 1,21.0,Verified (prior pass),Strong,Strong,Strong,31.0,,Private,,"confirmed — founded year (1999) and owner (Wayne Ellis, founder still President) are both now CONFIRMED where they were previously unknown, which materially strengthens the case; but size sits at the floor and there is zero contractual-recu","1999 — CONFIRMED (27 years). Own About page: 'Founded in 1999 by Wayne Ellis, the Company has grown into a critical infrastructure partner...'. Homepage separately claims 'EEE has more than 20 years of service'. Corroborated by an independe",Wayne Ellis — Founder and current President. His own About page names him as founder ('Founded in 1999 by Wayne Ellis') and his LinkedIn headline reads 'Wayne Ellis - President at Electrical Engineering Enterprises'. Founder still holding t,"independent private, founder-led — no PE, sponsor, parent or franchise language found on the site or in news search.",Medium,FromPete,13735422.0,"'Maintenance, testing, and installation of electrical equipment' for industrial, electric utility and municipal customers, operating 24/7; 31 employees in box."
Transformer Service Inc,http://transformer-svc.com,Concord,,T2,1 Core,P2,Batch 1,22.0,Verified (prior pass),Strong,Strong,Strong,24.0,,Private,,"confirmed — the intake's founded-year unknown is now resolved (1952, 74 years, company-sourced and BBB-corroborated) and the model reads Strong, but size dropped to the bottom edge, which is the new binding question.",1952,"Stephen W. Booth, President","independent private — BBB records a Corporation, no parent; supplied list records 'Private'. No sponsor, consolidator or parent found.",Medium,FromPete,943592.0,"""Testing, maintenance, and repair of electrical substations"" with ""preventive maintenance"" focus; 24 staff, private; founding year unverified caps it at P2."
"LND Technical Services, LLC",http://lndts.com,Houston,,T1,1 Core,P2,Batch 1,23.0,Verified,Strong,Strong,Strong,114.0,2020.0,Private,,"confirmed — NETA accreditation independently verified and the maintenance/predictive service lines are dead-centre thesis, but founded 2020 (6 years) fails the 10+ year P1 requirement and size is unresolved, so it cannot go above P2.","2020 (aggregator, LOW CONFIDENCE; not stated anywhere on the company's own site)","Nam Le, President; Jake Woodard, Executive VP Sales/Marketing/Project Management; Huyen Nguyen, Director Country Operations — all per ZoomInfo (LOW CONFIDENCE), none named on the company's own site. Kevin Halma is the listed NETA directory ",independent private — self-described 'Women and Minority-Owned Business' (https://lndts.com/about-us.html). No investors or funding rounds listed on Crunchbase (https://www.crunchbase.com/organization/lnd-technical-services).,Medium,S1-S6 relevant (S1),12789833.0,"'Electrical engineering, testing, commissioning, and maintenance of power systems' with '24/7 support,' 114 heads — but founded 2020, only six years old."
Hobgood Electric,http://hobgoodelectric.com,Winnsboro,,T4,1 Core,P2,Batch 1,24.0,Verified (prior pass),Strong,Strong,Strong,31.0,,Private,,"confirmed at P2 - both listed unknowns resolved favorably (founded 1969, 57 years; family-surname president; no acquisition found), but the company lands back at P2 on a NEW binding question: at ~41 employees EBITDA plausibly sits at or und",1969,"Herbert G. Hobgood, President (per BBB profile - MEDIUM/LOW confidence, self-reported directory). NOT named on the company's own leadership page, which lists only Chris Parkerson, Executive Vice President of Operations, plus functional mana","independent private, family-name principal (Hobgood surname president per BBB). No corporate parent, PE sponsor or holding-company affiliation found in any source retrieved.",Medium,FromPete,601831.0,"""Troubleshooting, repair, and maintenance"" for industrial customers with focus on ""minimizing downtime"" — service-led book, 31 employees in box."
Graves Electrical Services,http://graves-electrical.com,Monroe,Georgia,T3,1 Core,P2,Batch 1,25.0,Verified (prior pass),Strong,Strong,Mixed,25.0,1972.0,Private,,"confirmed — the owner is now CONFIRMED (Andy Fryslie, President/Owner, 22-year tenure) and the age question is now CONFIRMED (electrical business since 2005, lineage to 1990), both previously unknown. Held at P2 rather than raised because t","2005 for the electrical business, with lineage to 1990 — CONFIRMED from their own Company page, which states the Electrical Division completed its first independent job in 2005 and that 'the Electrical Division originated from Graves Constr","Andy Fryslie — President/Owner, joined 2004, so 22 years in the seat. Own leadership page credits him with 'over 35 years construction experience in Transmission, Distribution, and Substation Construction'. Notably he does not carry the Gra","independent private, owner-led — 'President/Owner' stated on the company's own leadership page. No PE, sponsor or 'portfolio company of' language found. Open question: whether any common ownership with Graves Construction remains.",Medium,ElecInfra,12655936.0,"""Construction and maintenance of substations"" plus ""emergency restoration services"" direct to utility companies; private since 1972; 25 staff sits at box floor."
Northeast Texas Power Ltd,http://northeasttexaspower.com,Cumby,Texas,T3,1 Core,P2,Batch 1,26.0,Verified (prior pass),Strong,Strong,Mixed,24.0,2001.0,Private,,"confirmed at P2 — no gate fired and no acquisition found, but the website was unreachable across every attempt so no model evidence was obtained in either direction; unknowns cap at P2.","[unknown] — supplied Inven list field says 2001, but I could NOT confirm it from any retrieved source. Treat 2001 as unverified.","David Petty, 'Company Owner' [LOW CONFIDENCE — ZoomInfo/RocketReach aggregator only, never confirmed on the company's own site]. A 'Lynn Petty — Business Manager at Northeast Texas Power, Ltd.' LinkedIn profile also exists, which is consist","independent private — INFERRED. Reasoning: 'Ltd' indicates a Texas limited partnership, the supplied list field says Private, and no acquisition, sponsor or parent-company evidence surfaced in search. Not confirmed from a primary source.",Low,ElecInfra,1199287.0,"""Overhead and underground distribution, storm restoration"" with ""quick response to outages"" direct for co-ops and schools since 2001; 24 staff."
IETS Engineering Services,http://ietspower.com,Lima,,T1,1 Core,P2,Batch 1,27.0,Verified,Strong,Strong,Mixed,10.0,1997.0,Private,,"confirmed — model evidence from their own materials is genuinely strong (explicit ""maintenance contracts"", 24-hour emergency response, breaker/substation/transformer service, ABB authorization) and scope is core-thesis, but headcount and fo",[unknown],"Michael Kacmarski, Owner and President — https://www.linkedin.com/in/michael-kacmarski-37707a118/ (matches the supplied record). No leadership page exists on the company site, so role and tenure are not corroborated by the company's own mat","independent private (INFERRED) — no parent, investor, ""portfolio company of"", ""backed by"", franchise or family-of-companies language anywhere on https://ietspowerny.com/ or https://ietspowerny.com/about/, and no parent-domain email; contact",Medium,S1/S2 (new 14 Aug),12205866.0,"""Full-service electrical field service"": HV/LV maintenance, transformer services, power system engineering, 24/7 emergency; automotive and healthcare sites; onl"
SI Testing,http://sitesting.net,Rancho Cucamonga,,T1,1 Core,P2,Batch 1,28.0,Verified (prior pass),Strong,Strong,Mixed,14.0,,Family Owned,,"confirmed at P2 — the model reads well from their own materials (founder-owned 30+ years, explicit annual preventive-maintenance framing, 24/7 standby, breaker and transformer maintenance) and no gate fires, but two unknowns cap it: whether","[unknown] exact year — but 10+ years is CONFIRMED: 'Founded over 30 years ago by David Sincock' (careers page) and 'Over 30-years of experience in the preventive maintenance and electrical testing field' (about page), which places founding ","David Sincock, Founder and President — stated on the company's own about page, and the careers page repeats 'Founded over 30 years ago by David Sincock'. Founder still in the seat after 30+ years.","independent private, founder-owned (supplied list field says Family Owned). No sponsor, parent or acquisition evidence found; the about page describes Sincock personally establishing the company after starting at BEST Infrared Services.",Medium,FromPete,389866.0,"'Electrical maintenance and testing', infrared inspections, arc flash studies, 'over 30 years', preventive-maintenance focus, family owned; only 14 heads."
Transformer Services INC,http://transformerservicesinc.com,Clackamas,,T2,1 Core,P2,Batch 1,29.0,Verified,Strong,Strong,Mixed,10.0,,Private,,"confirmed - scope and model verified STRONG from their own materials (transformer field maintenance, oil testing, breaker reconditioning, 24-hour standby, direct utility/IPP/wind/industrial customers), but unknown size, unknown founding yea","[unknown] - their own site claims ""more than 55 years experience"", which is an experience claim, not a founding date; site copyright reads ""Copyright 2012 (c) Transfomer Services, Inc."" (sic). No founding year stated anywhere on the site.","[unknown] - no leadership, team or owner page exists on the site; contact page names no individuals, only info@transformerservicesinc.com (https://transformerservicesinc.com/contact-us/)","independent private - INFERRED. Inven field says Private; no parent, sponsor, 'portfolio company of', 'backed by' or family-of-companies language anywhere on the site; no affiliates page; domain does not redirect.",Medium,S1-S6 relevant (S1),13124740.0,"'Maintenance, repair, and testing of power transformers' for utilities, industrial plants and government across multiple states with emergency service; 10 Linke"
Davco Electrical Contractors Corp.,http://davcoelectric.com,Boynton Beach,,T3,1 Core,P2,Batch 1,30.0,Verified,Strong,Mixed,Strong,82.0,1985.0,Family Owned,,"confirmed (was P2) — real service and maintenance lines and 40 years of direct public-sector work, but construction-led positioning with no contractual-recurrence or MV/substation evidence keeps it off P1",1985,"B. David Collins Jr., President & Qualifier and founder (began as an electrical apprentice in 1973, founded Davco 1985). Mark Komar, Vice President/Operations Manager, holds an Unlimited Electrical Contractors (Masters) license in Florida. ","independent private, founder-owned — INFERRED from the corporate-officers page listing the founder as sitting President with no parent, sponsor or affiliate entity named anywhere on the site",Medium,S1/S2 (new 14 Aug),500691.0,"'Commercial, municipal, utility, sports, civil, and marine' electrical 'installations and maintenance' direct for municipalities; 82 staff, family owned since 1"
"Triangle Electric, Inc.",http://triangleelectric.net,Williston,North Dakota,T4,1 Core,P2,Batch 1,31.0,Verified,Strong,Mixed,Strong,44.0,1946.0,Family Owned,,"confirmed — explicit ""maintenance contracts"" language and a named Service Manager on their own site support the P2, but the unresolved current-headcount question (44 vs a self-stated 300 in 2013) is an unknown and unknowns cap at P2.",1946,"Donn Hoffelt, President/Owner. Own site: joined the partnership in 1978 as an electrical engineer, became sole proprietor after Dennis Hoffelt's 1996 retirement (https://www.triangleelectric.net/company-history). LinkedIn title ""Owner - Tri","family owned, independent private — CONFIRMED from own site: ""Triangle Electric, Inc., is a family owned business started in 1946 by Harold Hoffelt, Oscar Stenehjem, and Selmer Johnson"" (https://www.triangleelectric.net/staff). Three genera",Medium,ElecInfra,25523040.0,"""Industrial and commercial electrical construction"" for oil and gas since 1946, family owned, 44 staff; ""installations and maintenance"" but construction-led."
"E. E. U., INC",http://eeu-inc.com,Savannah,,T1,1 Core,P2,Batch 1,32.0,Verified,Strong,Strong,Unknown,1.0,1987.0,Private,,"confirmed — but the reasoning has completely changed. The original key_unknowns are both resolved in the company's favour (NETA accreditation CONFIRMED in the directory; headcount is 20, not the 1 that LinkedIn showed). Model is the stronge",1987 — CONFIRMED from company materials,"Robert F. Olliff, PE — President (25+ years electrical industry experience); Michael J. Carbo — Secretary and Treasurer (25+ years electrical industry experience). Source: https://eeu-inc.com/people.html","independent private — officer-run (President plus Secretary/Treasurer, no parent). No PE, no sponsor, no holding company found.",High,S1-S6 relevant (S1),18285250.0,"""Testing, maintenance, and repair of electrical distribution equipment"" with ""adherence to NETA specifications"", private since 1987; LinkedIn shows 1, size unve"
